2020-10-11 00:11:48.779+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485758, Block: d83cad..dc51, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:12:00.771+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485759, Block: 86a9ed..1d97, Epoch: 15179, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2, Peers: 25[0m
2020-10-11 00:12:08.139+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [32mEpoch Event *** Epoch: 15180, Justified checkpoint: 15178, Finalized checkpoint: 15177, Finalized root: 51eed2..96c2[0m
2020-10-11 00:12:17.551+00:00 | forkchoice-0 | INFO  | ForkChoice | Skipping head block update as justified checkpoint was updated while loading checkpoint state. Was 15178 (0x18466e90077ec9a6c908196224923daaf56ca3372817f2a16f0dae45bae15641) but now 15179 (0xc826264f2141591bb2f5cdef0c01d77482c753c8a406c8441c874b7db6e1182b)
2020-10-11 00:12:17.551+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485760, Block: 373470..14fc, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:12:24.824+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485761, Block:    ... empty, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:12:36.718+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485762, Block: d5cef2..caec, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:12:48.781+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485763, Block: 7d74fd..7658, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:13:00.780+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485764, Block:    ... empty, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:13:12.806+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485765, Block:    ... empty, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
