datetime,current_slot,head_slot,connected_peer
Oct-12 00:27:57,493039,42657,13
Oct-12 00:28:09,493040,42732,13
Oct-12 00:28:21,493041,42732,13
Oct-12 00:28:32,493042,42944,13
Oct-12 00:28:45,493043,43072,13
Oct-12 00:28:56,493044,43171,13
Oct-12 00:29:08,493045,43274,13
Oct-12 00:29:20,493046,43388,13
Oct-12 00:29:33,493047,43388,13
Oct-12 00:29:44,493048,43584,13
Oct-12 00:29:56,493049,43700,13
Oct-12 00:30:10,493050,43700,13
Oct-12 00:30:21,493051,43904,13
Oct-12 00:30:32,493052,44013,13
Oct-12 00:30:46,493053,44013,13
Oct-12 00:30:56,493054,44224,14
Oct-12 00:31:08,493055,44340,13
Oct-12 00:31:22,493056,44340,13
Oct-12 00:31:33,493057,44546,13
Oct-12 00:31:44,493058,44656,13
Oct-12 00:31:56,493059,44740,13
Oct-12 00:32:08,493060,44832,13
Oct-12 00:32:20,493061,44940,13
Oct-12 00:32:33,493062,45056,13
Oct-12 00:32:44,493063,45153,13
Oct-12 00:32:57,493064,45153,13
Oct-12 00:33:08,493065,45376,13
Oct-12 00:33:21,493066,45376,13
Oct-12 00:33:32,493067,45600,13
Oct-12 00:33:45,493068,45708,13
Oct-12 00:33:57,493069,45708,13
Oct-12 00:34:09,493070,45888,13
Oct-12 00:34:22,493071,45888,13
Oct-12 00:34:34,493072,45888,13
Oct-12 00:34:45,493073,46208,13
Oct-12 00:34:56,493074,46304,13
Oct-12 00:35:08,493075,46408,13
Oct-12 00:35:20,493076,46501,13
Oct-12 00:35:33,493077,46501,13
Oct-12 00:35:46,493078,46501,13
Oct-12 00:35:56,493079,46791,13
Oct-12 00:36:08,493080,46880,13
Oct-12 00:36:22,493081,46880,13
Oct-12 00:36:33,493082,46880,13
Oct-12 00:36:45,493083,47201,13
Oct-12 00:36:57,493084,47307,13
Oct-12 00:37:09,493085,47393,13
Oct-12 00:37:21,493086,47500,13
Oct-12 00:37:32,493087,47585,13
Oct-12 00:37:46,493088,47585,13
Oct-12 00:37:56,493089,47790,13
