,seconds_elapsed,lighthouse_sync_percentage,nimbus_sync_percentage,prysm_sync_percentage,teku_sync_percentage,minutes_elapsed
18602,857.0,,,3.051195540560364,,14.283333333333333
18603,862.0,,,3.065001855223533,,14.366666666666667
18604,867.0,,,3.079023893553314,,14.45
18605,872.0,,,3.0926144845498706,,14.533333333333333
18606,878.0,,,3.1066365228796524,,14.633333333333333
18607,883.0,,,3.120227113876209,,14.716666666666667
18608,894.0,,,3.1480554668691596,,14.9
18609,899.0,,,3.1616460578657164,,14.983333333333333
18610,904.0,,,3.1754523725288855,,15.066666666666666
18611,908.0,,,3.1892586871920545,,15.133333333333333
18612,913.0000000000001,,,3.203280725521836,,15.216666666666669
18613,918.0000000000001,,,3.216871316518392,,15.300000000000002
18614,923.0000000000001,,,3.2308933548481735,,15.383333333333335
18615,929.0000000000001,,,3.244699669511343,,15.483333333333336
18616,935.0000000000001,,,3.2582902605079,,15.583333333333336
18617,942.0000000000001,,,3.272312298837681,,15.700000000000001
18618,947.0000000000001,,,3.285902889834238,,15.783333333333335
18619,951.0000000000001,,,3.299709204497407,,15.850000000000001
18620,956.0000000000001,,,3.3139469664937997,,15.933333333333335
18621,965.0000000000001,,,3.3411281484869138,,16.083333333333336
18622,970.0000000000001,,,3.3549344631500833,,16.166666666666668
18623,975.0000000000001,,,3.3689565014798646,,16.250000000000004
18624,980.0000000000001,,,3.3825470924764214,,16.333333333333336
18625,985.0000000000001,,,3.3965691308062027,1.9203610278732401,16.416666666666668
18626,990.0000000000001,,,3.4101597218027595,,16.500000000000004
18627,994.0000000000001,,,3.4246132074657645,,16.56666666666667
18628,999.0000000000001,,,3.437772351129097,,16.650000000000002
18629,1003.0000000000001,,,3.4515786657922667,,16.71666666666667
18630,1007.0000000000001,,,3.465384980455436,,16.783333333333335
18631,1012.0000000000001,,,3.479191295118605,,16.866666666666667
18632,1017.0000000000001,,,3.4929976097817743,,16.950000000000003
18633,1021.0000000000001,,,3.5070196481115548,,17.01666666666667
18634,1026.0,,,3.520610239108112,,17.1
18635,1030.0,,,3.534416553771281,,17.166666666666668
18636,1034.0,,,3.54822286843445,,17.233333333333334
18637,1039.0,,,3.5620291830976196,,17.316666666666666
18638,1043.0,,,3.5758354977607882,,17.383333333333333
18639,1047.0,,,3.5896418124239577,,17.45
18640,1052.0,,,3.6034481270871264,,17.533333333333335
18641,1061.0,,,3.6312764800800763,,17.683333333333334
18642,1065.0,,,3.6448670710766335,,17.75
18643,1070.0,,,3.658673385739803,,17.833333333333332
18644,1074.0,,,3.6724797004029717,,17.9
18645,1078.0,,,3.686286015066141,,17.966666666666665
18646,1083.0,,,3.7003080533959216,,18.05
18647,1088.0,,,3.7138986443924793,,18.133333333333333
18648,1097.0,,,3.7415112737188174,,18.283333333333335
18649,1102.0,,,3.755317588381986,,18.366666666666667
18650,1106.0,,,3.769123903045155,,18.433333333333334
18651,1111.0,,,3.7829302177083246,,18.516666666666666
18652,1117.0,,,3.7971679797047173,,18.616666666666667
18653,1122.0,,,3.8105428470346627,,18.7
18654,1144.0,,,3.824564885364443,,19.066666666666666
18655,1148.0,,,3.838155476361001,,19.133333333333333
18656,1153.0,,,3.852177514690782,2.246822402611691,19.216666666666665
18657,1158.0,,,3.8657681056873385,,19.3
18658,1163.0,,,3.879574420350508,,19.383333333333333
18659,1167.0,,,3.8933807350136767,,19.45
18660,1173.0,,,3.907187049676846,,19.55
18661,1178.0,,,3.9209933643400148,,19.633333333333333
18662,1183.0,,,3.935015402669796,,19.716666666666665
18663,1187.0,,,3.948605993666353,,19.783333333333335
18664,1192.0,,,3.9624123083295224,,19.866666666666667
18665,1196.0,,,3.9762186229926915,,19.933333333333334
18666,1201.0,,,3.99002493765586,2.3110344744812026,20.016666666666666
18667,1205.0,,,4.004262699652253,,20.083333333333332
18668,1209.0,,,4.017637566982199,,20.15
18669,1214.0,,,4.031443881645368,,20.233333333333334
18670,1219.0,,,4.045250196308537,,20.316666666666666
18671,1223.0,,,4.059056510971706,,20.383333333333333
18672,1228.0,,,4.072862825634875,,20.466666666666665
18673,1233.0,,,4.086669140298044,,20.55
18674,1237.0,,,4.100691178627825,,20.616666666666667
18675,1243.0,,,4.114281769624382,,20.716666666666665
18676,1247.0,,,4.128303807954163,,20.783333333333335
18677,1252.0,,,4.142110122617332,,20.866666666666667
18678,1257.0,,,4.155700713613889,,20.95
18679,1262.0,,,4.169507028277058,,21.033333333333335
18680,1268.0,,,4.183313342940227,,21.133333333333333
18681,1277.0,,,4.211573143266401,,21.283333333333335
18682,1283.0,,,4.224732286929735,,21.383333333333333
18683,1288.0,,,4.2387543252595155,,21.466666666666665
18684,1293.0,,,4.252344916256073,,21.55
18685,1300.0,,,4.279957545582411,,21.666666666666668
18686,1304.0,,,4.294195307578804,,21.733333333333334
18687,1323.0,,,4.321376489571918,,22.05
18688,1327.0,,,4.3358299752349225,,22.116666666666667
18689,1336.0,,,4.362795433561425,,22.266666666666666
18690,1340.0,,,4.376601748224594,,22.333333333333332
18691,1345.0,,,4.390408062887763,,22.416666666666668
18692,1348.0,,,4.404214377550932,,22.466666666666665
18693,1352.0,,,4.418020692214101,,22.533333333333335
18694,1360.0,,,4.445849045207051,,22.666666666666668
18695,1363.0,,,4.459439636203609,,22.716666666666665
18696,1372.0,,,4.487052265529947,,22.866666666666667
18697,1378.0,,,4.500858580193116,,22.966666666666665
18698,1383.0,,,4.514664894856285,,23.05
18699,1387.0,,,4.528686933186066,,23.116666666666667
18700,1395.0,,,4.556299562512404,,23.25
18701,1399.0,,,4.569890153508961,,23.316666666666666
18702,1403.0,,,4.58369646817213,,23.383333333333333
18703,1407.0,,,4.597718506501911,,23.45
18704,1411.0,,,4.611309097498468,,23.516666666666666
18705,1421.0,,,4.638921726824806,,23.683333333333334
18706,1426.0,,,4.6527280414879755,,23.766666666666666
18707,1432.0,,,4.6665343561511445,,23.866666666666667
18708,1436.0,,,4.680340670814314,,23.933333333333334
18709,1441.0,,,4.694146985477483,,24.016666666666666
18710,1446.0,,,4.708169023807264,,24.1
18711,1451.0,,,4.721759614803821,,24.183333333333334
18712,1456.0,,,4.735781653133602,,24.266666666666666
18713,1462.0,,,4.7498036914633825,,24.366666666666667
18714,1468.0,,,4.76339428245994,,24.466666666666665
18715,1474.0,,,4.776984873456498,,24.566666666666666
18716,1479.0,,,4.791006911786278,,24.65
18717,1484.0,,,4.804813226449448,,24.733333333333334
18718,1490.0,,,4.818403817446004,2.8547366904978135,24.833333333333332
18719,1494.0,,,4.832210132109173,,24.9
18720,1505.0,,,4.859822761435511,,25.083333333333332
18721,1510.0,,,4.873844799765293,,25.166666666666668
18722,1515.0,,,4.8874353907618495,,25.25
18723,1521.0,,,4.901241705425019,,25.35
18724,1525.0,,,4.915048020088188,,25.416666666666668
18725,1530.0,,,4.928854334751357,,25.5
18726,1534.0,,,4.942660649414526,,25.566666666666666
18727,1538.0,,,4.956466964077695,,25.633333333333333
18728,1542.0,,,4.970273278740864,,25.7
18729,1547.0,,,4.9845110407372575,,25.783333333333335
18730,1551.0,,,4.997885908067203,,25.85
18731,1555.0,,,5.011692222730371,,25.916666666666668
18732,1565.0,,,5.039304852056709,,26.083333333333332
18733,1570.0,,,5.053111166719878,,26.166666666666668
18734,1576.0,,,5.066917481383047,,26.266666666666666
18735,1579.0,,,5.080723796046216,,26.316666666666666
18736,1583.0,,,5.094745834375998,,26.383333333333333
18737,1588.0,,,5.1083364253725545,,26.466666666666665
18738,1592.0,,,5.122358463702336,,26.533333333333335
18739,1600.0,,,5.149755369362062,,26.666666666666668
18740,1605.0,,,5.163561684025231,,26.75
18741,1609.0,,,5.1773679986884,3.0729777198113246,26.816666666666666
18742,1613.0,,,5.19117431335157,,26.883333333333333
18743,1617.0,,,5.204980628014738,,26.95
18744,1621.0,,,5.218786942677908,,27.016666666666666
18745,1634.0,,,5.232593257341076,,27.233333333333334
18746,1638.0,,,5.246399572004245,,27.3
18747,1642.0,,,5.260421610334026,,27.366666666666667
18748,1646.0,,,5.274012201330583,,27.433333333333334
18749,1650.0,,,5.287818515993753,,27.5
18750,1654.0,,,5.301840554323533,,27.566666666666666
18751,1658.0,,,5.315431145320091,,27.633333333333333
18752,1663.0,,,5.3292374599832595,,27.716666666666665
18753,1666.0,,,5.343043774646429,,27.766666666666666
18754,1670.0,,,5.357065812976209,,27.833333333333332
18755,1675.0,,,5.370656403972767,,27.916666666666668
18756,1679.0,,,5.384462718635937,,27.983333333333334
18757,1683.0,,,5.398269033299105,,28.05
18758,1686.0,,,5.412075347962275,,28.1
18759,1690.0,,,5.425881662625443,,28.166666666666668
18760,1694.0,,,5.439687977288613,,28.233333333333334
18761,1698.0,,,5.453494291951781,,28.3
18762,1701.0,,,5.467300606614951,,28.35
18763,1706.0,,,5.481106921278119,,28.433333333333334
18764,1712.0,,,5.494913235941288,,28.533333333333335
18765,1715.0,,,5.508719550604458,,28.583333333333332
18766,1720.0,,,5.522525865267626,,28.666666666666668
18767,1724.0,,,5.536332179930796,,28.733333333333334
18768,1729.0,,,5.550354218260576,,28.816666666666666
18769,1733.0,,,5.564160532923746,,28.883333333333333
18770,1737.0,,,5.577751123920303,,28.95
18771,1741.0,,,5.591557438583472,3.3178237508651627,29.016666666666666
18772,1745.0,,,5.605363753246642,,29.083333333333332
18773,1754.0,,,5.6193857915764225,,29.233333333333334
18774,1759.0,,,5.63297638257298,,29.316666666666666
18775,1768.0,,,5.660589011899318,,29.466666666666665
18776,1774.0,,,5.674611050229098,,29.566666666666666
18777,1779.0,,,5.688201641225656,,29.65
18778,1783.0,,,5.702223679555437,,29.716666666666665
18779,1793.0,,,5.729620585215163,,29.883333333333333
18780,1797.0,,,5.743426899878331,,29.95
18781,1802.0,,,5.757233214541501,3.432845374930487,30.033333333333335
18782,1806.0,,,5.7710395292046694,,30.1
18783,1810.0,,,5.784845843867839,,30.166666666666668
18784,1815.0,,,5.79886788219762,,30.25
18785,1818.0,,,5.812889920527401,,30.3
18786,1822.0,,,5.826264787857347,,30.366666666666667
18787,1826.0000000000002,,,5.840071102520515,,30.433333333333337
18788,1829.0000000000002,,,5.853877417183685,,30.483333333333338
18789,1833.0000000000002,,,5.867899455513466,,30.550000000000004
18790,1840.0000000000002,,,5.895296361173192,,30.66666666666667
18791,1844.0000000000002,,,5.909318399502973,,30.733333333333338
18792,1853.0000000000002,,,5.936715305162698,,30.883333333333336
18793,1857.0000000000002,,,5.950521619825868,,30.950000000000003
18794,1861.0000000000002,,,5.964327934489036,3.533464291286762,31.01666666666667
18795,1865.0000000000002,,,5.978134249152206,,31.083333333333336
18796,1869.0000000000002,,,5.991940563815375,,31.150000000000002
18797,1873.0000000000002,,,6.005746878478544,,31.216666666666672
18798,1877.0000000000002,,,6.019553193141713,,31.28333333333334
18799,1881.0000000000002,,,6.0333595078048825,,31.350000000000005
18800,1885.0000000000002,,,6.047381546134663,3.578672790484611,31.41666666666667
18801,1889.0000000000002,,,6.06097213713122,,31.483333333333338
18802,1893.0000000000002,,,6.07477845179439,,31.550000000000004
18803,1897.0000000000002,,,6.088800490124171,,31.61666666666667
18804,1901.0000000000002,,,6.102391081120728,,31.683333333333337
18805,1905.0000000000002,,,6.116197395783897,,31.750000000000004
18806,1923.0000000000002,,,6.13043515778029,,32.050000000000004
18807,1927.0000000000002,,,6.143810025110235,,32.11666666666667
18808,1936.0000000000002,,,6.171422654436573,,32.26666666666667
18809,1940.0000000000002,,,6.185228969099741,,32.333333333333336
18810,1945.0000000000002,,,6.199035283762911,,32.41666666666667
18811,1949.0000000000002,,,6.21284159842608,,32.483333333333334
18812,1953.0000000000002,,,6.226647913089249,,32.550000000000004
18813,1957.0000000000002,,,6.240454227752418,3.6834924965893587,32.61666666666667
18814,1961.0000000000002,,,6.2544762660822,,32.68333333333334
18815,1971.0000000000002,,,6.281873171741925,,32.85
18816,1975.0000000000002,,,6.295679486405094,,32.91666666666667
18817,1983.0000000000002,,,6.323507839398045,,33.050000000000004
18818,1988.0000000000002,,,6.337098430394601,,33.13333333333334
18819,1996.0000000000002,,,6.36471105972094,,33.26666666666667
18820,2000.0000000000002,,,6.378517374384109,,33.333333333333336
18821,2006.0000000000002,,,6.392539412713891,,33.43333333333334
18822,2010.0000000000002,,,6.406345727377059,,33.50000000000001
18823,2014.0000000000002,,,6.419936318373616,,33.56666666666667
18824,2018.0000000000002,,,6.433742633036784,,33.63333333333334
18825,2021.0000000000002,,,6.447548947699955,,33.68333333333334
18826,2025.0000000000002,,,6.461570986029735,,33.75000000000001
18827,2029.0000000000002,,,6.4751615770262925,3.8143170916132227,33.81666666666667
18828,2032.0000000000002,,,6.488967891689461,,33.86666666666667
18829,2035.0000000000002,,,6.502774206352631,,33.91666666666667
18830,2037.0000000000002,,,6.5165805210158,,33.95
18831,2041.0000000000002,,,6.530386835678968,3.8535244625989686,34.01666666666667
18832,2044.0000000000002,,,6.544193150342139,,34.06666666666667
18833,2047.0000000000002,,,6.557999465005307,,34.11666666666667
18834,2050.0,,,6.571805779668476,,34.166666666666664
18835,2053.0,,,6.585612094331644,,34.21666666666667
18836,2056.0,,,6.599418408994814,,34.266666666666666
18837,2105.0,,,6.613440447324595,,35.083333333333336
18838,2109.0,,,6.627031038321151,,35.15
18839,2113.0,,,6.640837352984322,3.9881497721571657,35.21666666666667
18840,2116.0,,,6.65464366764749,,35.266666666666666
18841,2119.0,,,6.668449982310659,,35.31666666666667
18842,2122.0,,,6.682472020640439,,35.36666666666667
18843,2125.0,,,6.69627833530361,,35.416666666666664
18844,2128.0,,,6.7098689263001665,,35.46666666666667
18845,2132.0,,,6.723675240963336,,35.53333333333333
18846,2135.0,,,6.737697279293117,,35.583333333333336
18847,2138.0,,,6.751287870289674,4.033358271355015,35.63333333333333
18848,2142.0,,,6.765309908619455,,35.7
18849,2146.0,,,6.779547670615847,,35.766666666666666
18850,2149.0,,,6.792706814279182,,35.81666666666667
18851,2154.0,,,6.80651312894235,,35.9
18852,2157.0,,,6.820535167272131,,35.95
18853,2163.0,,,6.847932072931857,,36.05
18854,2166.0,,,6.861738387595026,,36.1
18855,2170.0,,,6.875544702258194,,36.166666666666664
18856,2173.0,,,6.889351016921365,,36.21666666666667
18857,2176.0,,,6.903157331584533,,36.266666666666666
18858,2179.0,,,6.916963646247702,,36.31666666666667
18859,2181.0,,,6.930769960910872,,36.35
18860,2188.0,,,6.95838259023721,,36.46666666666667
18861,2191.0,,,6.972188904900378,,36.516666666666666
18862,2194.0,,,6.9862109432301605,,36.56666666666667
18863,2198.0,,,6.999801534226717,,36.63333333333333
18864,2201.0,,,7.013823572556498,,36.68333333333333
18865,2205.0,,,7.0278456108862795,,36.75
18866,2211.0,,,7.055026792879393,,36.85
18867,2214.0,,,7.068833107542562,,36.9
18868,2217.0,,,7.083070869538956,,36.95
18869,2221.0,,,7.0964457368689,,37.016666666666666
18870,2224.0,,,7.110467775198681,,37.06666666666667
18871,2227.0,,,7.124058366195239,,37.11666666666667
18872,2231.0,,,7.13808040452502,,37.18333333333333
18873,2235.0,,,7.151886719188188,,37.25
18874,2238.0,,,7.1654773101847455,,37.3
18875,2241.0,,,7.1792836248479155,,37.35
18876,2243.0,,,7.193089939511084,,37.38333333333333
18877,2246.0,,,7.206896254174253,,37.43333333333333
18878,2249.0,,,7.220702568837423,,37.483333333333334
18879,2252.0,,,7.234940330833815,,37.53333333333333
18880,2259.0,,,7.262121512826929,,37.65
18881,2262.0,,,7.275927827490099,,37.7
18882,2265.0,,,7.28994986581988,,37.75
18883,2271.0,,,7.317562495146218,,37.85
18884,2274.0,,,7.331153086142775,,37.9
18885,2286.0,,,7.344959400805943,,38.1
18886,2290.0,,,7.358981439135724,,38.166666666666664
18887,2294.0,,,7.372572030132282,,38.233333333333334
18888,2298.0,,,7.386594068462063,,38.3
18889,2301.0,,,7.400616106791843,,38.35
18890,2305.0,,,7.4139909741217895,,38.416666666666664
18891,2308.0,,,7.427797288784959,,38.46666666666667
18892,2311.0,,,7.441603603448127,,38.516666666666666
18893,2315.0,,,7.455625641777908,,38.583333333333336
18894,2318.0,,,7.469216232774466,,38.63333333333333
18895,2351.0,,,7.483022547437635,,39.18333333333333
18896,2354.0,,,7.496828862100803,,39.233333333333334
18897,2357.0,,,7.510635176763972,,39.28333333333333
18898,2360.0,,,7.524872938760366,,39.333333333333336
18899,2362.0,,,7.53824780609031,,39.36666666666667
18900,2366.0,,,7.552054120753479,,39.43333333333333
18901,2369.0,,,7.565860435416649,,39.483333333333334
18902,2372.0,,,7.579666750079818,,39.53333333333333
18903,2375.0,,,7.593688788409598,,39.583333333333336
18904,2378.0,,,7.6072793794061555,,39.63333333333333
18905,2381.0,,,7.6210856940693255,,39.68333333333333
18906,2384.0,,,7.634892008732494,,39.733333333333334
18907,2387.0,,,7.648698323395663,,39.78333333333333
18908,2391.0,,,7.662504638058833,,39.85
18909,2394.0,,,7.676310952722002,,39.9
18910,2398.0,,,7.69011726738517,,39.96666666666667
18911,2401.0,,,7.704139305714951,4.500046008649626,40.016666666666666
18912,2404.0,,,7.717729896711509,,40.06666666666667
18913,2407.0,,,7.731536211374677,,40.11666666666667
18914,2411.0,,,7.745342526037846,,40.18333333333333
18915,2414.0,,,7.759148840701016,,40.233333333333334
18916,2417.0,,,7.772955155364185,,40.28333333333333
18917,2421.0,,,7.786761470027353,,40.35
18918,2425.0,,,7.800567784690522,,40.416666666666664
18919,2428.0,,,7.814374099353692,,40.46666666666667
18920,2431.0,,,7.828180414016861,,40.516666666666666
18921,2434.0,,,7.842202452346641,,40.56666666666667
18922,2437.0,,,7.856224490676424,,40.61666666666667
18923,2440.0,,,7.869599358006369,,40.666666666666664
18924,2444.0,,,7.883405672669537,,40.733333333333334
18925,2447.0,,,7.897211987332706,,40.78333333333333
